label,mode,param,total_return,annual_return,sharpe,max_drawdown,final_equity
zero,percent,0.0,0.057537133277999475,0.007632851145526143,0.1295113964572871,-0.366923543400012,1057537.1332779995
1bps,percent,0.0001,0.053136116218355234,0.007061855600019484,0.12610601296711407,-0.36814917467032504,1053136.1162183553
5bps,percent,0.0005,0.03601284116511483,0.00482045050770985,0.1127128352526627,-0.3729212219849206,1036012.8411651149
10bps,percent,0.001,0.014981359878133427,0.0020232427118351826,0.09596645298931736,-0.3788572331025126,1014981.3598781334
20bps,percent,0.002,-0.02583655759393111,-0.0035516060064471056,0.06251359858760223,-0.39058590889249434,974163.4424060689
volume_k0.05,volume,0.05,-0.3207381336655072,-0.05120997643098357,-0.225720114043187,-0.47825335263306,679261.8663344928
volume_k0.10,volume,0.1,-0.5280948024321442,-0.0970377813723764,-0.4963609748672984,-0.6190600721755702,471905.19756785576
vol_adj_5bps,vol_adjusted,5.0,0.029172210273296972,0.003916067217913266,0.10732784350600443,-0.37397799322445224,1029172.2102732969
vol_adj_15bps,vol_adjusted,15.0,-0.024976951481049947,-0.003432139054916572,0.06335603377518942,-0.38780510377365696,975023.04851895
